timestamp,ping_ms,download_mbps,upload_mbps
1760254205,38.0,nan,nan
1760257640,38.0,73.95414633021107,85.06605148381448
1760257963,38.0,81.87471206268438,84.69005897530323
1760258287,38.0,79.4135160434756,85.32382518237141
1760258611,38.0,71.13890021100727,86.17811645731864
1760258935,38.0,70.6929307956033,84.92246080550368
1760259259,38.0,77.57563999606508,84.9248795576543
1760259582,38.0,78.70933107552092,86.09730645943146
1760259905,38.0,nan,nan
1760260206,38.0,76.9354411001056,83.69725021250169
1760260530,38.0,55.062718073772096,63.49562021444215
1760272095,38.0,90.82706343631925,94.15844777729382
1760272178,38.0,92.66340143262268,94.02031940117294
1760272261,38.0,91.7638022299191,94.05740483517813
1760272343,38.0,91.00442980521613,94.1155800500833
1760272426,38.0,92.72695241537942,94.10651434517699
1760272508,38.0,92.09577851324545,94.02549333419636
1760272592,38.0,90.53270334705898,94.09318489552659
1760272674,38.0,92.2665696155922,94.1906228066996
1760272758,38.0,90.01615823758071,93.97989730864076
1760272840,38.0,89.88545655009939,94.10416050971152
